year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,next_year_playoff
2,WNBA,CHA,CHA,EA,,4,1,0,W,W,L,Charlotte Sting,746,1780,410,528,153,428,309,639,948,467,605,217,474,114,2055,732,1846,431,562,114,369,344,567,911,443,579,257,447,124,2009,0,0,0,0,0,0,18,14,32,11,5,7,9,15,6,6500,105525,Charlotte Coliseum,4.0,4.0,1.0
2,WNBA,CLE,CLE,EA,,1,1,0,L,,,Cleveland Rockers,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,0,0,0,0,0,0,22,10,32,14,2,8,8,15,6,6425,147373,Quicken Loans Arena,1.0,2.0,0.0
2,WNBA,DET,DET,EA,,7,0,0,,,,Detroit Shock,774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,0,0,0,0,0,0,10,22,32,6,10,4,12,7,14,6550,109348,The Palace of Auburn Hills,0.0,0.0,0.0
2,WNBA,HOU,HOU,WE,,4,1,0,L,,,Houston Comets,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,0,0,0,0,0,0,19,13,32,11,5,8,8,13,8,6450,181115,Compaq Center,0.0,2.0,1.0
2,WNBA,IND,IND,EA,,6,0,0,,,,Indiana Fever,762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,0,0,0,0,0,0,10,22,32,7,9,3,13,7,14,6475,138922,Conseco Fieldhouse,0.0,0.0,1.0
2,WNBA,LAS,LAS,WE,,1,1,0,W,W,W,Los Angeles Sparks,916,2031,449,594,160,436,350,755,1105,596,616,281,438,138,2441,779,1985,416,547,192,603,294,627,921,538,591,234,453,114,2166,0,0,0,0,0,0,28,4,32,16,0,12,4,19,2,6475,148446,Staples Center,6.0,1.0,1.0
2,WNBA,MIA,MIA,EA,,3,1,0,L,,,Miami Sol,754,1826,356,469,93,295,292,651,943,467,602,300,448,153,1957,679,1725,420,588,120,395,301,667,968,388,538,259,512,87,1898,0,0,0,0,0,0,20,12,32,10,6,10,6,14,7,6575,141717,AmericanAirlines Arena,1.0,2.0,0.0
2,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,0,0,0,0,0,0,12,20,32,6,10,6,10,9,12,6475,120607,Target Center,0.0,0.0,0.0
2,WNBA,NYL,NYL,EA,,2,1,0,W,L,,New York Liberty,833,1828,336,500,160,421,255,660,915,553,616,265,437,82,2162,744,1759,461,640,133,394,304,679,983,430,600,223,496,76,2082,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,250565,Madison Square Garden (IV),3.0,3.0,1.0
2,WNBA,ORL,CON,EA,,5,0,0,,,,Orlando Miracle,768,1914,430,587,174,532,356,614,970,452,643,320,532,125,2140,806,1831,436,605,157,438,316,659,975,534,600,298,546,114,2205,0,0,0,0,0,0,13,19,32,10,6,3,13,9,12,6450,118874,Amway Arena,0.0,0.0,0.0
