year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,next_year_playoff
1,WNBA,CHA,CHA,EA,,8,0,0,,,,Charlotte Sting,812,1903,431,577,131,386,305,630,935,551,713,222,496,90,2186,879,1930,533,716,138,423,326,664,990,596,596,259,426,123,2429,0,0,0,0,0,0,8,24,32,5,11,3,13,5,16,6475,90963,Charlotte Coliseum,0.0,0.0,1.0
1,WNBA,CLE,CLE,EA,,2,1,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,3.0,3.0,1.0
1,WNBA,DET,DET,EA,,5,0,0,,,,Detroit Shock,868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,0,0,0,0,0,0,14,18,32,8,8,6,10,10,11,6425,107289,The Palace of Auburn Hills,0.0,0.0,0.0
1,WNBA,HOU,HOU,WE,,2,1,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,27,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,6.0,0.0,1.0
1,WNBA,IND,IND,EA,,7,0,0,,,,Indiana Fever,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,0,0,0,0,0,0,9,23,32,5,11,4,12,7,14,6425,180270,Conseco Fieldhouse,0.0,0.0,0.0
1,WNBA,LAS,LAS,WE,,1,1,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,4,32,15,1,13,3,17,4,6450,105005,Staples Center,2.0,2.0,1.0
1,WNBA,MIA,MIA,EA,,6,0,0,,,,Miami Sol,647,1774,452,664,85,310,365,595,960,415,707,272,524,88,1831,715,1676,454,627,117,315,275,648,923,416,661,247,528,118,2001,0,0,0,0,0,0,13,19,32,9,7,4,12,9,12,6475,127721,AmericanAirlines Arena,0.0,0.0,1.0
1,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,770,1831,449,592,204,571,258,612,870,495,690,237,497,63,2193,755,1758,514,702,164,481,300,677,977,472,707,275,547,130,2188,0,0,0,0,0,0,15,17,32,8,8,7,9,5,16,6425,116638,Target Center,0.0,0.0,0.0
1,WNBA,NYL,NYL,EA,,1,1,0,W,W,L,New York Liberty,792,1815,429,567,135,396,288,652,940,477,617,246,474,102,2148,741,1822,437,590,116,420,320,647,967,462,645,223,479,94,2035,0,0,0,0,0,0,20,12,32,12,4,8,8,14,7,6425,231962,Madison Square Garden (IV),4.0,3.0,1.0
1,WNBA,ORL,CON,EA,,3,1,0,L,,,Orlando Miracle,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0,0,0,0,0,0,16,16,32,11,5,5,11,13,8,6500,117810,Amway Arena,1.0,2.0,0.0
1,WNBA,PHO,PHO,WE,,4,1,0,L,,,Phoenix Mercury,803,1800,513,661,124,394,275,619,894,465,630,285,429,91,2243,773,1828,421,574,135,416,334,635,969,486,699,224,531,91,2102,0,0,0,0,0,0,20,12,32,11,5,9,7,11,10,6425,161075,US Airways Center,0.0,2.0,0.0
1,WNBA,POR,POR,WE,,7,0,0,,,,Portland Fire,761,1828,488,697,145,433,309,627,936,480,761,265,593,93,2155,788,1847,577,766,150,447,307,646,953,487,729,277,531,130,2303,0,0,0,0,0,0,10,22,32,6,10,4,12,4,17,6525,133076,Rose Garden Arena,0.0,0.0,0.0
1,WNBA,SAC,SAC,WE,,3,1,0,L,,,Sacramento Monarchs,876,1993,449,650,142,459,388,650,1038,567,571,332,458,157,2343,811,1918,410,544,144,418,320,631,951,503,600,226,524,116,2176,0,0,0,0,0,0,21,11,32,13,3,8,8,13,8,6400,126841,ARCO Arena (II),0.0,2.0,1.0
1,WNBA,SEA,SEA,WE,,8,0,0,,,,Seattle Storm,667,1740,379,561,109,364,256,537,793,390,648,255,525,93,1822,778,1721,498,654,117,334,288,721,1009,506,618,284,529,123,2171,0,0,0,0,0,0,6,26,32,4,12,2,14,4,17,6475,142594,KeyArena at Seattle Center,0.0,0.0,0.0
1,WNBA,UTA,SAS,WE,,5,0,0,,,,Utah Starzz,858,1896,609,790,88,262,348,732,1080,522,698,214,544,157,2413,860,1964,531,721,156,448,313,598,911,503,702,301,437,112,2407,0,0,0,0,0,0,18,14,32,12,4,6,10,13,8,6400,103442,EnergySolutions Arena,0.0,0.0,1.0
1,WNBA,WAS,WAS,EA,,4,1,0,L,,,Washington Mystics,832,1813,403,578,109,335,300,646,946,521,597,245,506,126,2176,845,1875,382,555,149,397,299,612,911,513,595,261,456,102,2221,0,0,0,0,0,0,14,18,32,7,9,7,9,13,8,6400,244134,Verizon Center,0.0,2.0,0.0
