year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,next_year_playoff
4,WNBA,CHA,CHA,EA,,2,1,0,L,,,Charlotte Sting,787,1881,456,590,187,517,342,629,971,499,697,279,497,115,2217,790,1902,477,667,138,407,386,621,1007,491,606,264,469,104,2195,0,0,0,0,0,0,18,16,34,13,4,5,12,12,12,6850,120061,Charlotte Coliseum,0.0,2.0,0.0
4,WNBA,CON,CON,EA,,3,1,0,W,L,,Connecticut Sun,864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0,0,0,0,0,0,18,16,34,10,7,8,9,11,13,6875,102433,Mohegan Sun Arena,2.0,2.0,1.0
4,WNBA,DET,DET,EA,,1,1,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,6.0,2.0,1.0
4,WNBA,HOU,HOU,WE,,2,1,0,L,,,Houston Comets,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,0,0,0,0,0,0,20,14,34,14,3,6,11,14,10,6825,150203,Compaq Center,1.0,2.0,0.0
4,WNBA,IND,IND,EA,,5,0,0,,,,Indiana Fever,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,0,0,0,0,0,0,16,18,34,11,6,5,12,12,12,6875,141778,Conseco Fieldhouse,0.0,0.0,0.0
4,WNBA,LAS,LAS,WE,,1,1,0,W,W,L,Los Angeles Sparks,894,2140,537,678,174,528,336,813,1149,587,682,242,470,161,2499,866,2147,504,702,196,540,316,789,1105,572,654,241,468,127,2432,0,0,0,0,0,0,24,10,34,11,6,13,4,17,7,6900,157934,Staples Center,5.0,4.0,1.0
4,WNBA,MIN,MIN,WE,,4,1,0,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253,Target Center,1.0,2.0,1.0
4,WNBA,NYL,NYL,EA,,6,0,0,,,,New York Liberty,825,1923,412,537,181,500,271,686,957,527,587,262,470,128,2243,821,1959,459,581,155,467,326,736,1062,506,614,269,480,96,2256,0,0,0,0,0,0,16,18,34,11,6,5,12,11,13,6850,212346,Madison Square Garden (IV),0.0,0.0,1.0
4,WNBA,PHO,PHO,WE,,7,0,0,,,,Phoenix Mercury,801,2095,379,556,116,349,357,643,1000,461,664,310,479,111,2097,834,1867,466,626,136,371,303,811,1114,509,667,275,610,146,2270,0,0,0,0,0,0,8,26,34,6,11,2,15,5,19,6925,144511,US Airways Center,0.0,0.0,0.0
4,WNBA,SAC,SAC,WE,,3,1,0,W,L,,Sacramento Monarchs,862,2107,425,626,150,473,349,718,1067,568,641,297,461,122,2299,816,1991,435,597,149,467,345,751,1096,516,640,224,576,141,2216,0,0,0,0,0,0,19,15,34,12,5,7,10,13,11,6825,155578,ARCO Arena (II),3.0,3.0,1.0
4,WNBA,SAS,SAS,WE,,6,0,0,,,,San Antonio Silver Stars,792,2068,538,736,93,315,350,795,1145,428,728,187,513,167,2215,867,2176,544,745,149,482,389,783,1172,530,669,275,424,140,2427,0,0,0,0,0,0,12,22,34,9,8,3,14,10,14,6825,176526,AT&T Center,0.0,0.0,0.0
4,WNBA,SEA,SEA,WE,,5,0,0,,,,Seattle Storm,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,2388,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,2274,0,0,0,0,0,0,18,16,34,13,4,5,12,11,13,6850,120857,KeyArena at Seattle Center,0.0,0.0,1.0
4,WNBA,WAS,WAS,EA,,7,0,0,,,,Washington Mystics,896,2191,381,507,157,505,382,703,1085,568,676,213,462,99,2330,909,2033,509,691,171,482,334,781,1115,591,565,251,468,119,2498,0,0,0,0,0,0,9,25,34,3,14,6,11,7,17,6875,238710,Verizon Center,0.0,0.0,1.0
