year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,next_year_playoff
8,WNBA,CHI,CHI,EA,,6,0,0,,,,Chicago Sky,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,20,34,6,11,8,9,6,14,6972,66557,UIC Pavilion,0.0,0.0,0.0
8,WNBA,CON,CON,EA,,3,1,0,L,,,Connecticut Sun,1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,0,0,0,0,0,0,18,16,34,8,9,10,7,10,10,6925,135490,Mohegan Sun Arena,1.0,2.0,1.0
8,WNBA,DET,DET,EA,,1,1,0,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,The Palace of Auburn Hills,6.0,5.0,1.0
8,WNBA,HOU,HOU,WE,,5,0,0,,,,Houston Comets,915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,0,0,0,0,0,0,13,21,34,7,10,6,11,10,12,6800,138816,Toyota Center,0.0,0.0,0.0
8,WNBA,IND,IND,EA,,2,1,0,W,L,,Indiana Fever,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,0,0,0,0,0,0,21,13,34,12,5,9,8,12,8,6875,133915,Conseco Fieldhouse,3.0,3.0,1.0
8,WNBA,LAS,LAS,WE,,7,0,0,,,,Los Angeles Sparks,940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,0,0,0,0,0,0,10,24,34,5,12,5,12,6,16,6900,147810,Staples Center,0.0,0.0,1.0
8,WNBA,MIN,MIN,WE,,6,0,0,,,,Minnesota Lynx,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,0,0,0,0,0,0,10,24,34,7,10,3,14,8,14,6875,121019,Target Center,0.0,0.0,0.0
8,WNBA,NYL,NYL,EA,,4,1,0,L,,,New York Liberty,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,0,0,0,0,0,0,16,18,34,10,7,6,11,10,10,6850,147866,Madison Square Garden (IV),1.0,2.0,1.0
8,WNBA,PHO,PHO,WE,,1,1,0,W,W,W,Phoenix Mercury,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,0,0,0,0,0,0,23,11,34,12,5,11,6,17,5,6850,131524,US Airways Center,7.0,2.0,0.0
8,WNBA,SAC,SAC,WE,,3,1,0,L,,,Sacramento Monarchs,901,2214,572,745,153,429,452,723,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,2480,0,0,0,0,0,0,19,15,34,12,5,7,10,12,10,6950,142575,ARCO Arena (II),1.0,2.0,1.0
8,WNBA,SAS,SAS,WE,,2,1,0,W,L,,San Antonio Silver Stars,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,0,0,0,0,0,0,20,14,34,9,8,11,6,13,9,6875,128680,AT&T Center,2.0,3.0,1.0
8,WNBA,SEA,SEA,WE,,4,1,0,L,,,Seattle Storm,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,KeyArena at Seattle Center,0.0,2.0,1.0
8,WNBA,WAS,WAS,EA,,5,0,0,,,,Washington Mystics,877,2170,668,839,163,528,335,783,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,2639,0,0,0,0,0,0,16,18,34,8,9,8,9,8,12,6900,133255,Verizon Center,0.0,0.0,0.0
